,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,0,1,1990,36613,0.44967074317968014,0.0003288940968621393,0.5134582623509371
1,0,3,1990,66667,0.44967074317968014,0.0003288940968621393,0.5134582623509371
2,0,4,1990,23333,0.44967074317968014,0.0003288940968621393,0.5134582623509371
3,0,5,1990,12500,0.44967074317968014,0.0003288940968621393,0.5134582623509371
4,0,6,1990,7000,0.44967074317968014,0.0003288940968621393,0.5134582623509371
5,0,8,1990,30197,0.44967074317968014,0.0003288940968621393,0.5134582623509371
6,0,1,1991,29068,0.44967074317968014,0.0003288940968621393,0.47904599659284497
7,0,3,1991,77818,0.44967074317968014,0.0003288940968621393,0.47904599659284497
8,0,4,1991,28538,0.44967074317968014,0.0003288940968621393,0.47904599659284497
9,0,5,1991,6667,0.44967074317968014,0.0003288940968621393,0.47904599659284497
10,0,6,1991,6066,0.44967074317968014,0.0003288940968621393,0.47904599659284497
11,0,8,1991,20698,0.44967074317968014,0.0003288940968621393,0.47904599659284497
12,0,1,1992,24876,0.44967074317968014,0.0003288940968621393,0.5028960817717206
13,0,3,1992,82920,0.44967074317968014,0.0003288940968621393,0.5028960817717206
14,0,4,1992,40000,0.44967074317968014,0.0003288940968621393,0.5028960817717206
15,0,5,1992,3747,0.44967074317968014,0.0003288940968621393,0.5028960817717206
16,0,6,1992,4507,0.44967074317968014,0.0003288940968621393,0.5028960817717206
17,0,8,1992,24388,0.44967074317968014,0.0003288940968621393,0.5028960817717206
18,0,1,1993,24185,0.44967074317968014,0.0003288940968621393,0.5025553662691653
19,0,3,1993,98446,0.44967074317968014,0.0003288940968621393,0.5025553662691653
20,0,4,1993,41786,0.44967074317968014,0.0003288940968621393,0.5025553662691653
21,0,6,1993,7998,0.44967074317968014,0.0003288940968621393,0.5025553662691653
22,0,8,1993,29976,0.44967074317968014,0.0003288940968621393,0.5025553662691653
23,0,1,1994,25848,0.44967074317968014,0.0005464166476968875,0.5335604770017036
24,0,3,1994,81404,0.44967074317968014,0.0005464166476968875,0.5335604770017036
25,0,6,1994,7927,0.44967074317968014,0.0005464166476968875,0.5335604770017036
26,0,8,1994,24745,0.44967074317968014,0.0005464166476968875,0.5335604770017036
27,0,1,1995,31300,0.44967074317968014,0.0006823682419686051,0.4896081771720614
28,0,3,1995,111323,0.44967074317968014,0.0006823682419686051,0.4896081771720614
29,0,6,1995,11791,0.44967074317968014,0.0006823682419686051,0.4896081771720614
30,0,8,1995,28703,0.44967074317968014,0.0006823682419686051,0.4896081771720614
31,0,1,1996,32604,0.44967074317968014,0.0008535584894755519,0.4885860306643953
32,0,3,1996,106138,0.44967074317968014,0.0008535584894755519,0.4885860306643953
33,0,6,1996,15480,0.44967074317968014,0.0008535584894755519,0.4885860306643953
34,0,8,1996,21741,0.44967074317968014,0.0008535584894755519,0.4885860306643953
35,0,1,1997,31862,0.44967074317968014,0.001024775927301353,0.4974446337308348
36,0,3,1997,109874,0.44967074317968014,0.001024775927301353,0.4974446337308348
37,0,6,1997,12768,0.44967074317968014,0.001024775927301353,0.4974446337308348
38,0,8,1997,28516,0.44967074317968014,0.001024775927301353,0.4974446337308348
39,0,1,1998,33416,0.44967074317968014,0.0011959661748083,0.5100511073253834
40,0,3,1998,127212,0.44967074317968014,0.0011959661748083,0.5100511073253834
41,0,6,1998,14327,0.44967074317968014,0.0011959661748083,0.5100511073253834
42,0,8,1998,28037,0.44967074317968014,0.0011959661748083,0.5100511073253834
43,0,1,1999,37455,0.44967074317968014,0.0013671836126341011,0.5202725724020444
44,0,3,1999,142018,0.44967074317968014,0.0013671836126341011,0.5202725724020444
45,0,6,1999,17143,0.44967074317968014,0.0013671836126341011,0.5202725724020444
46,0,8,1999,24954,0.44967074317968014,0.0013671836126341011,0.5202725724020444
47,0,1,2000,38811,0.44967074317968014,0.001538373860141048,0.523679727427598
48,0,3,2000,141228,0.44967074317968014,0.001538373860141048,0.523679727427598
49,0,6,2000,15000,0.44967074317968014,0.001538373860141048,0.523679727427598
50,0,8,2000,30455,0.44967074317968014,0.001538373860141048,0.523679727427598
51,0,1,2001,38135,0.44967074317968014,0.001709591297966849,0.520954003407155
52,0,3,2001,148818,0.44967074317968014,0.001709591297966849,0.520954003407155
